google_category,title,address,opening_hrs,website,phone,plus_code,review,total number of reviews
Video game store,EB Games,"1070 Major Mackenzie Dr E, Richmond Hill, ON L4S 1P3",Opens at 10:00 a.m.,ebgames.ca,(905) 883-8060,"VHGP+VC Richmond Hill, Ontario",4.1,259 reviews
Video game store,EB Games,"9350 Yonge St, Richmond Hill, ON L4C 5G2",opening hr not provided,ebgames.ca,(905) 787-8186,"VH37+M3 Richmond Hill, Ontario",4.3,117 reviews
Game store,The Regency Chess Company Canada,"17 Rathfon Crescent, Richmond Hill, ON L4C 5B6",Closed,regencychess.ca,(647) 773-5124,"VH35+HV Richmond Hill, Ontario",4.4,11 reviews
Video game store,GameMachine Ultimate Mobile Video Game Party,"GTA, Richmond Hill, ON L4C 4Z7",opening hr not provided,website not available,(647) 379-2082,plus code available,review not available,not available
Video game store,Rolling Video Games Inc.,adress not available,Opens at 8:00 a.m.,rollingvideogames.ca,(289) 210-1833,plus code available,2.3,3 reviews
Trading card store,Epic Cards and Games,"10909 Yonge St, Richmond Hill, ON L4C 3E3",Closed,m.facebook.com,(905) 237-7188,"VHV5+R7 Richmond Hill, Ontario",3.6,78 reviews
Electronics store,Best Buy,"225 High Tech Rd Unit 3, Richmond Hill, ON L4B 0A6",opening hr not provided,stores.bestbuy.ca,(905) 695-3906,"RHRJ+QX Richmond Hill, Ontario",3.6,"2,168 reviews"
Video game store,Play Projection,adress not available,opening hr not provided,website not available,(416) 848-5376,plus code available,review not available,not available
Electronics store,The Source,"9350 Yonge St Unit B018D, Richmond Hill, ON L4C 5G2",Closed today,thesource.ca,(905) 770-8694,"VH37+P3 Richmond Hill, Ontario",3.7,82 reviews
Game store,Wicked Games,"7181 Yonge St unit 31, Markham, ON L3T 0C7",opening hr not provided,vrzone.ca,(647) 922-0020,"RH3H+FW Markham, Ontario",4.5,107 reviews
Sports memorabilia store,Collectors Dreams,"10520 Yonge St #31, Richmond Hill, ON L4C 3C7",Opens at 11:00 a.m.,collectorsdreams.ca,(905) 508-6935,"VHM5+R8 Richmond Hill, Ontario",3.9,38 reviews
