google_category,title,address,opening_hrs,website,phone,plus_code,review,total number of reviews
Home improvement store,Oakridges Home Hardware,"125 King Rd, Richmond Hill, ON L4E 1A5",Closed. Opens at 9:00 a.m.,homehardware.ca,(905) 773-5428,"WGVR+5C Richmond Hill, Ontario",4.3,213 reviews
Hardware store,Concord Hardware,"9094 Leslie St Unit #6, Richmond Hill, ON L4B 3L9",Closed. Opens at 7:30 a.m.,concordhardware.com,(905) 731-7944,"VJ37+VQ Richmond Hill, Ontario",4.6,12 reviews
Home improvement store,The Home Depot,"50 Red Maple Rd, Richmond Hill, ON L4B 4K1",opening hr not provided,stores.homedepot.ca,(905) 763-2311,"RHRG+9F Richmond Hill, Ontario",4.0,"1,523 reviews"
Hardware store,Intercontinental Diversified Products Inc,"55 West Beaver Creek Rd, Richmond Hill, ON L4B 1K5",Closed. Opens at 8:30 a.m.,idpinc.ca,(905) 882-7682,"VJ35+RG Richmond Hill, Ontario",review not available,not available
Home improvement store,Consolaid Inc,"55 West Beaver Creek Rd Unit 11, Richmond Hill, ON L4B 1K5",Closed. Opens at 8:00 a.m.,flexfence.com,(905) 669-0861,"VJ35+WP Richmond Hill, Ontario",1.0,1 review
Hardware store,VODISI,"60 Granton Dr Unit109, Richmond Hill, ON L4B 2N6",Closed. Opens at 9:00 a.m.,vodisi.ca,(905) 597-8883,"VJ46+PH Richmond Hill, Ontario",5.0,1 review
Home improvement store,The Home Depot,"10885 Leslie St, Richmond Hill, ON L4S 0B2",opening hr not provided,stores.homedepot.ca,(905) 787-7200,"WJ24+J3 Richmond Hill, Ontario",4.0,"1,055 reviews"
Distribution service,Hill Supplies,"157 Crosby Ave, Richmond Hill, ON L4C 2R3",Closed. Opens at 7:00 a.m.,website not available,(905) 883-0633,"VHJ8+PX Richmond Hill, Ontario",4.4,25 reviews
Plumbing supply store,Emco Richmond Hill,"460 Elgin Mills Road East Units 6-9, Richmond Hill, ON L4C 5E7",Closed. Opens at 7:30 a.m.,powellplumbingsupply.com,(905) 883-1616,"VHVC+28 Richmond Hill, Ontario",4.5,61 reviews
Bathroom supply store,Bath Depot Richmond Hill,"20 John Birchall Rd unit 1, Richmond Hill, ON L4S 0B2",opening hr not provided,bathdepot.ca,(289) 452-0551,"WJ24+7M Richmond Hill, Ontario",3.8,27 reviews
Plumbing supply store,Pilot Plumbing Products Inc,"33 West Beaver Creek Rd, Richmond Hill, ON L4B 1L8",opening hr not provided,website not available,(905) 707-5224,"VJ46+39 Richmond Hill, Ontario",1.0,2 reviews
