google_category,title,address,opening_hrs,website,phone,plus_code,review,total number of reviews
Professional organizer,Toronto Home Organizer,"9201 Yonge St, Richmond Hill, ON L4C 1V5",Opens at 9:00 a.m.,business.site,(289) 779-6099,"VH29+R7 Richmond Hill, Ontario",5.0,2 reviews
Professional organizer,Order in the House,adress not available,Opens at 9:00 a.m.,orderinthehouse.ca,(647) 449-1248,plus code available,5.0,30 reviews
Interior designer,"SpaceStyle Home Staging, Organizing and Design","25 Pollard St, Richmond Hill, ON L4B 1A8",Opens at 9:00 a.m.,spacestyle.ca,(416) 274-1049,"RJX6+33 Richmond Hill, Ontario",5.0,18 reviews
Professional organizer,Organized By Elanah,adress not available,Opens at 9:00 a.m.,organizedbyelanah.com,(416) 275-8959,plus code available,5.0,3 reviews
Professional organizer,Savvy Home Organizing Solutions,adress not available,Opens at 9:00 a.m.,savvyhomeorganizingsolutions.ca,(647) 406-8570,plus code available,5.0,4 reviews
Professional organizer,Forever Organized,adress not available,Opens at 9:00 a.m.,forever-organized.com,(416) 575-4549,plus code available,5.0,2 reviews
Moving and storage service,Abacus Self Storage,"25 Colston Ct, Richmond Hill, ON L4C 9Z3",Opens at 9:00 a.m.,abacusselfstorage.com,(905) 763-8600,"VH2F+PG Richmond Hill, Ontario",4.5,97 reviews
Mover,Richmond Hill Movers | Moving Company,"10825 Yonge St, Richmond Hill, ON L4C 3E3",Opens at 8:00 a.m.,carefreemoving.ca,(289) 809-3477,"VHR5+JG Richmond Hill, Ontario",4.6,18 reviews
House cleaning service,K's Professional Cleaning Service,adress not available,Opens at 7:30 a.m.,cleantract.com,(647) 778-9399,plus code available,4.9,33 reviews
Interior designer,Home Organizers Inc The,"301 Jevlan Dr #1, Woodbridge, ON L4L 8G6",opening hr not provided,thehomeorganizers.ca,(905) 669-0400,"RF22+HV Vaughan, Ontario",5.0,3 reviews
Professional organizer,Sort it. Stage it.,adress not available,Opens at 10:00 a.m.,sortitstageit.com,(647) 679-6131,plus code available,5.0,2 reviews
Professional organizer,Well Arranged Home,adress not available,Opens at 10:00 a.m.,wellarrangedhome.com,(647) 459-5431,plus code available,5.0,9 reviews
Professional organizer,Simply Home Downsizing,"697 Eglinton Ave W, Toronto, ON M5N 1C6",Opens at 9:00 a.m.,simplyhomeinc.ca,(416) 819-1576,"PH2H+MV Toronto, Ontario",5.0,17 reviews
Professional organizer,Butler Girl - Personal Concierge and Event Services,adress not available,Opens at 8:00 a.m.,website not available,(905) 715-1766,plus code available,5.0,2 reviews
Mover,Metropolitan Movers Richmond Hill ON GTA - Moving Company,adress not available,Opens at 8:00 a.m.,metropolitanmovers.ca,+1 866-645-5529,plus code available,4.7,12 reviews
Professional organizer,Kitchen Clever,adress not available,Opens at 9:00 a.m.,website not available,(416) 617-4450,plus code available,5.0,1 review
Shelving store,Metalsistem Canada Inc,"121 Granton Dr #21, Richmond Hill, ON L4B 3N4",Opens at 9:00 a.m.,metalsistemcanada.ca,(905) 886-9499,"VJ66+2R Richmond Hill, Ontario",4.7,12 reviews
Self-storage facility,Access Storage - Richmond Hill,"555 Edward Ave, Richmond Hill, ON L4C 5K6",opening hr not provided,accessstorage.ca,(647) 559-2052,"VHWC+VW Richmond Hill, Ontario",4.6,64 reviews
Self-storage facility,Public Storage,"30 Brodie Dr, Richmond Hill, ON L4B 3K8",opening hr not provided,publicstoragecanada.com,(905) 508-8478,"VJ87+65 Richmond Hill, Ontario",4.9,396 reviews
Shelving store,ShelvingMate,"121 Granton Dr Unit 19, Richmond Hill, ON L4B 3N4",Opens at 9:00 a.m.,shelvingmate.ca,(905) 497-6497,"VJ66+5V Richmond Hill, Ontario",review not available,not available
Piano moving service,Canadian CT Movers,"13035 Bathurst St, Richmond Hill, ON L4E 2Z1",Open now: Open 24 hours,canadianctmovers.com,(416) 857-1500,"WGR9+2M Richmond Hill, Ontario",5.0,39 reviews
Professional organizer,Toronto Home Organizing And Downsizing Services With Laura Kay & Associates,adress not available,Opens at 9:00 a.m.,torontohomeorganizing.com,(416) 324-8566,plus code available,review not available,not available
Warehouse,J B Equipment Sales Ltd,"475 Edward Ave, Richmond Hill, ON L4C 5E5",Opens at 8:00 a.m.,jbequipment.ca,(905) 883-0316,"VHWC+8R Richmond Hill, Ontario",4.5,10 reviews
Moving and storage service,Toronto Professional Movers - Richmond Hill Moving company,"71 Chelton Dr, Richmond Hill, ON L4E 4A8",Opens at 8:00 a.m.,torontopromovers.ca,(416) 434-9179,"WGRH+8M Richmond Hill, Ontario",4.7,7 reviews
Mover,Get Movers Richmond Hill ON | Moving Company,adress not available,Opens at 8:00 a.m.,getmovers.ca,(647) 945-6708,plus code available,5.0,23 reviews
Interior designer,Nest Home Staging & Redesign,adress not available,Opens at 9:00 a.m.,nesthomestaging.ca,(416) 904-7370,plus code available,5.0,7 reviews
Packaging company,Dynamic Downsizers,"30 Jeremy Dr, Unionville, ON L3R 2K6",Opens at 8:00 a.m.,dynamicdownsizers.com,(416) 288-8368,"VM9G+MV Markham, Ontario",4.9,9 reviews
Furniture store,Urban Barn Richmond Hill,"295 High Tech Rd Unit 1, Richmond Hill, ON L4B 0A3",Closed today,urbanbarn.com,(905) 764-1427,"RHRQ+RJ Richmond Hill, Ontario",4.3,171 reviews
Furniture store,Capital Home Decor,"10271 Yonge St, Richmond Hill, ON L4C 3B5",Opens at 10:00 a.m.,website not available,(905) 237-7570,"VHH6+4M Richmond Hill, Ontario",5.0,3 reviews
Home improvement store,The Home Depot,"50 Red Maple Rd, Richmond Hill, ON L4B 4K1",opening hr not provided,stores.homedepot.ca,(905) 763-2311,"RHRG+9F Richmond Hill, Ontario",4.0,"1,523 reviews"
Moving and storage service,Perfect Movers Richmond Hill,"326 Major Mackenzie Dr E Apt 218, Richmond Hill, ON L4C 8T4",Opens at 8:00 a.m.,pmtmoving.com,+1 877-995-7771,"VHFC+HV Richmond Hill, Ontario",4.7,40 reviews
Cabinet maker,Tailored Living of Richmond Hill,"1260 Journey's End Cir #18, Newmarket, ON L3Y 8Z7",Opens at 8:30 a.m.,tailoredliving.com,(289) 894-0321,"3HCG+HV Newmarket, Ontario",5.0,51 reviews
Department store,Bed Bath & Beyond,"225 High Tech Rd Unit 1, Richmond Hill, ON L4B 0A6",Opens at 9:00 a.m.,stores.bedbathandbeyond.ca,(905) 762-1233,"RHRJ+PJ Richmond Hill, Ontario",3.9,775 reviews
Home improvement store,The Home Depot,"10885 Leslie St, Richmond Hill, ON L4S 0B2",opening hr not provided,stores.homedepot.ca,(905) 787-7200,"WJ24+J3 Richmond Hill, Ontario",4.0,"1,055 reviews"
Mover,AM Ontario Moving & Storage Inc.,"16 Hamills Crescent, Richmond Hill, ON L4S 1C1",Opens at 7:00 a.m.,ontariomovingandstorage.com,(416) 721-6454,"WH2F+FP Richmond Hill, Ontario",5.0,3 reviews
Home improvement store,RS Closet Organizers,adress not available,Opens at 9:00 a.m.,rsclosets.ca,(416) 272-4854,plus code available,5.0,2 reviews
Furniture store,Structube Richmond Hill,"45 Red Maple Rd Unit 5b, Richmond Hill, ON L4B 4M6",opening hr not provided,structube.com,(905) 764-4841,"RHRH+QV Richmond Hill, Ontario",3.2,87 reviews
Furniture store,Ashley HomeStore,"45 Red Maple Rd, Richmond Hill, ON L4B 4M6",opening hr not provided,ashleyhomestore.ca,(905) 763-6020,"RHRH+PH Richmond Hill, Ontario",4.0,604 reviews
Home health care service,Homewatch CareGivers of Richmond Hill,"30 Via Renzo Dr #200, Richmond Hill, ON L4S 0B8",Opens at 6:00 a.m.,homewatchcaregivers.ca,+1 855-976-1060,"VJR5+75 Richmond Hill, Ontario",5.0,1 review
Contractor,Tailored Living of Markham & Durham Region,adress not available,Opens at 8:00 a.m.,tailoredliving.com,(416) 450-0271,plus code available,5.0,21 reviews
Furniture store,Decorative Dimensions Inc,"4-9033 Leslie St, Richmond Hill, ON L4B 4K3",Opens at 11:00 a.m.,dd1992.com,(905) 882-1811,"VJ28+3M Richmond Hill, Ontario",4.9,8 reviews
Home improvement store,StagingHome.ca - Focus only Home Staging,"85 West Wilmot St Unit 11, Richmond Hill, ON L4B 1K7",Opens at 9:00 a.m.,homedec.ca,(647) 390-6026,"VJ25+H8 Richmond Hill, Ontario",review not available,not available
Flooring store,Remodel Canada Carpet One Floor & Home,"50 West Pearce St Unit 3 & 4, Richmond Hill, ON L4B 1E3",Opens at 9:00 a.m.,remodelcanada.com,(647) 558-3211,"RJX7+84 Richmond Hill, Ontario",4.9,30 reviews
Bathroom supply store,Home Comfort Centre,"1600 16th Ave Unit #2, Richmond Hill, ON L4B 4N6",Opens at 9:30 a.m.,homecomfortcentre.com,(905) 886-6621,"VJ78+FF Richmond Hill, Ontario",4.4,63 reviews
Mover,Smart Movers Richmond Hill,adress not available,Opens at 9:00 a.m.,smartmoverscanada.com,(647) 995-7177,plus code available,4.8,90 reviews
Furniture store,United Canada Inc,"111 Granton Dr Unit 412, Richmond Hill, ON L4B 1L5",Opens at 9:00 a.m.,unitedcanadainc.com,+1 888-751-5999,"VJ56+PX Richmond Hill, Ontario",4.9,111 reviews
Mover,Nortown Moving and Self-Storage,"9600 Yonge St #205, Richmond Hill, ON L4C 1V6",Opens at 9:00 a.m.,nortownmoving.com,(905) 770-1111,"VH67+RQ Richmond Hill, Ontario",4.4,8 reviews
Home improvement store,Oakridges Home Hardware,"125 King Rd, Richmond Hill, ON L4E 1A5",Opens at 9:00 a.m.,homehardware.ca,(905) 773-5428,"WGVR+5C Richmond Hill, Ontario",4.3,213 reviews
Home improvement store,RS Closet Organizers,"191 Bowes Rd #3, Concord, ON L4K 1H9",opening hr not provided,rsclosets.ca,(416) 272-4854,"RG35+6P Vaughan, Ontario",review not available,not available
Furniture store,Bouclair Home,"45 Red Maple Rd #4, Richmond Hill, ON L4B 4M6",opening hr not provided,bouclair.com,(905) 771-8003,"RHRH+JG Richmond Hill, Ontario",3.8,54 reviews
Moving and storage service,Best Moving Systems,adress not available,opening hr not provided,bestmovingsystems.com,(416) 937-7525,plus code available,5.0,21 reviews
Bathroom supply store,Bath Depot Richmond Hill,"20 John Birchall Rd unit 1, Richmond Hill, ON L4S 0B2",opening hr not provided,bathdepot.ca,(289) 452-0551,"WJ24+7M Richmond Hill, Ontario",3.8,27 reviews
Construction company,Executive Closets,"75 West Beaver Creek Rd, Richmond Hill, ON L4B 1K6",opening hr not provided,executiveclosets.ca,(905) 886-9641,"VJ35+M2 Richmond Hill, Ontario",3.7,3 reviews
Home health care service,Living Assistance Serives,"10271 Yonge St, Richmond Hill, ON L4C 3B5",Open now: Open 24 hours,laservices.ca,(905) 918-0103,"VHH6+4M Richmond Hill, Ontario",3.7,3 reviews
Home goods store,Kitchen Stuff Plus,"8825 Yonge St, Richmond Hill, ON L4C 6Z1",Opens at 12:00 p.m.,kitchenstuffplus.com,(905) 482-0225,"RHVC+47 Richmond Hill, Ontario",4.2,264 reviews
Furniture store,Bijan Interiors,"10149 Yonge St, Richmond Hill, ON L4C 1T5",Opens at 10:00 a.m.,bijaninteriors.ca,(416) 301-2020,"VHF6+XV Richmond Hill, Ontario",4.1,61 reviews
Professional organizer,Organized Zone Inc.,adress not available,Open now: Open 24 hours,organizedzone.com,(416) 414-4124,plus code available,4.8,27 reviews
