google_category,title,address,opening_hrs,website,phone,plus_code,review,total number of reviews
Pet supply store,PetSmart,"225 High Tech Rd, Richmond Hill, ON L4B 0A6",Opens at 9:00 a.m.,petsmart.ca,(905) 764-6116,"RHRJ+QQ Richmond Hill, Ontario",4.2,967 reviews
Pet supply store,PetSmart,"1700 Elgin Mills Rd E Unit 1, Richmond Hill, ON L4S 0B2",Opens at 9:00 a.m.,petsmart.ca,(905) 787-8740,"WJ25+7V Richmond Hill, Ontario",4.3,544 reviews
Pet store,Tru Pet,"10520 Yonge St, Richmond Hill, ON L4C 3C7",Opens at 11:00 a.m.,,,,4.5,81 reviews
Pet store,Aaa,"9737 Yonge St #103, Richmond Hill, ON L4C 8S7",opening hr not provided,website not available,(647) 495-6633,"VH78+X5 Richmond Hill, Ontario",3.6,86 reviews
Pet store,Pet Valu,"10850 Yonge St, Richmond Hill, ON L4C 3E4",opening hr not provided,store.petvalu.com,(905) 884-3334,"VHR4+MV Richmond Hill, Ontario",4.2,73 reviews
Pet store,Pet Valu,"9325 Yonge St, Richmond Hill, ON L4C 1V4",Opens at 9:00 a.m.,store.petvalu.com,(905) 884-3911,"VH49+78 Richmond Hill, Ontario",4.6,56 reviews
Pet supply store,Global Pet Foods,"1070 Major Mackenzie Dr E Unit 109, Richmond Hill, ON L4S 1P3",Opens at 11:00 a.m.,globalpetfoods.com,(905) 508-8895,"VHGP+VG Richmond Hill, Ontario",4.3,118 reviews
Pet store,Pet Market,"10225 Yonge St, Richmond Hill, ON L4C 3B2",Opens at 11:00 a.m.,website not available,(416) 903-0483,"VHG6+PM Richmond Hill, Ontario",4.3,84 reviews
Pet store,PawPawDear Pet Supplies Store | Canada's Premium Pet Supplier,"55 West Beaver Creek Rd unit 32, Richmond Hill, ON L4B 1K5",Closed today,pawpawdear.com,Phone not available,"VJ35+XF Richmond Hill, Ontario",5.0,4 reviews
Pet supply store,Global Pet Foods,"126 Tower Hill Rd #9, Richmond Hill, ON L4E 0K6",Opens at 10:00 a.m.,towerhill.globalpetfoods.com,(905) 883-4729,"WG7X+QM Richmond Hill, Ontario",4.6,81 reviews
Pet store,Q’s Pets,"420 Hwy 7 Unit 10, Richmond Hill, ON L4B 3K2",Opens at 10:15 a.m.,qspets.business.site,(647) 674-1221,"RJV5+9M Richmond Hill, Ontario",5.0,7 reviews
Pet supply store,Global Pet Foods,"9200 Bathurst St #9, Thornhill, ON L4J 8W1",Opens at 9:00 a.m.,globalpetfoods.com,(905) 597-3353,"RGWR+R4 Vaughan, Ontario",4.7,74 reviews
Pet store,Canada Ant Colony,"27 Frybrook Crescent, Richmond Hill, ON L4B 4B8",opening hr not provided,canada-ant-colony.com,(437) 213-9082,"VJ76+X3 Richmond Hill, Ontario",review not available,not available
Pet store,Friend a Puppy LLC,adress not available,Open now: Open 24 hours,friendapuppy.com,+1 888-488-7203,plus code available,5.0,2 reviews
Pet supply store,Petlantis,adress not available,opening hr not provided,petlantis.ca,+1 800-572-7402,plus code available,5.0,3 reviews
Pet supply store,Just Raw Pet Food Inc.,adress not available,Opens at 8:00 a.m.,justrawpetfood.ca,(647) 216-8868,plus code available,4.9,34 reviews
