google_category,title,address,opening_hrs,website,phone,plus_code,review,total number of reviews
Gourmet grocery store,Sue's Market,"205 Don Head Village Blvd, Richmond Hill, ON L4C 7R4",Opens at 8:00 a.m.,suesmarket.ca,(905) 737-0520,"VG8R+CR Richmond Hill, Ontario",4.4,345 reviews
Grocery store,AL MARWA SUNRISE SUPERMARKET,"10 John Birchall Rd, Richmond Hill, ON L4S 0B2",Opens at 10:00 a.m.,website not available,(905) 780-0174,"WJ24+3R Richmond Hill, Ontario",4.6,132 reviews
Supermarket,Oak Ridges Food Market,"13144 Yonge St, Richmond Hill, ON L4E 2T3",Opens at 8:00 a.m.,grecosfreshmarkets.com,(905) 773-5212,"WGXV+7J Richmond Hill, Ontario",4.5,285 reviews
Grocery store,Bismillah Grocers,"10288 Yonge St, Richmond Hill, ON L4C 3B8",Opens at 10:00 a.m.,bismillahgrocers.ca,(905) 770-2856,"VHH6+65 Richmond Hill, Ontario",4.2,49 reviews
Asian grocery store,Bayview Food Mart,"9019 Bayview Ave, Richmond Hill, ON L4B 1Y3",Opens at 8:30 a.m.,m.facebook.com,(905) 886-6699,"VH2R+5Q Richmond Hill, Ontario",3.7,473 reviews
Grocery store,Loblaws,"10909 Yonge St, Richmond Hill, ON L4C 3E3",opening hr not provided,,,,4.1,870 reviews
Cold cut store,Richmond Hill Deli,"9631 Yonge St, Richmond Hill, ON L4C 0M5",Opens at 9:00 a.m.,richmondhilldeli.ca,(905) 884-3519,"VH78+25 Richmond Hill, Ontario",4.3,231 reviews
Grocery store,Sobeys Jefferson Square,"11700 Yonge St, Richmond Hill, ON L4E 0K4",opening hr not provided,sobeys.com,(905) 508-7585,"WH62+RG Richmond Hill, Ontario",4.2,681 reviews
Grocery store,Madani,"12977 Yonge St, Richmond Hill, ON L4E 3G9",Opens at 9:00 a.m.,madani.ca,(905) 773-2323,"WGVW+M9 Richmond Hill, Ontario",4.1,277 reviews
Grocery store,Loblaws,"301 High Tech Rd, Richmond Hill, ON L4B 4R2",opening hr not provided,loblaws.ca,(905) 771-1066,"RHVQ+7M Richmond Hill, Ontario",4.1,"1,858 reviews"
Indian grocery store,Suky's Fine Foods,"14 Oxford St, Richmond Hill, ON L4C 4L5",Opens at 10:00 a.m.,facebook.com,(905) 780-3838,"VHP5+R2 Richmond Hill, Ontario",5.0,2 reviews
Grocery store,Longo's Richmond Hill,"10860 Yonge St, Richmond Hill, ON L4C 3E4",Opens at 8:00 a.m.,longos.com,(905) 770-7029,"VHR4+QC Richmond Hill, Ontario",4.5,337 reviews
Chinese supermarket,T&T Supermarket,"9625 Yonge St, Richmond Hill, ON L4C 5T2",Opens at 9:00 a.m.,tntsupermarket.com,(905) 737-9113,"VH68+VV Richmond Hill, Ontario",4.0,"1,595 reviews"
Grocery store,FreshCo Major Mackenzie & Leslie,"1430 Major Mackenzie Dr E, Richmond Hill, ON L4S 0A1",Opens at 7:00 a.m.,freshco.com,(905) 770-9370,"VJJ4+73 Richmond Hill, Ontario",4.2,180 reviews
Discount supermarket,Food Basics,"13231 Yonge St, Richmond Hill, ON L4E 3L2",Opens at 8:00 a.m.,foodbasics.ca,(905) 773-9023,"XG2W+FC Richmond Hill, Ontario",4.1,566 reviews
Supermarket,Shalimar Garden,"10737 Yonge St, Richmond Hill, ON L4C 9M9",Opens at 11:00 a.m.,website not available,(905) 770-5087,"VHR5+5P Richmond Hill, Ontario",3.8,68 reviews
Grocery store,M&M Food Market,"8750 Bayview Ave Unit 17, Richmond Hill, ON L4B 4V9",Opens at 10:00 a.m.,mmfoodmarket.com,(905) 597-1099,"RHVR+8Q Richmond Hill, Ontario",4.4,68 reviews
