title,address,opening_hrs,website,phone,plus_code,review,total number of reviews
EB Games,"25 Peel Centre Dr, Brampton, ON L6T 3R5, Canada",opening hr not provided,ebgames.ca,+1 905-793-9813,"P77H+X3 Brampton, Ontario, Canada",3.5,262 reviews
EBX Games Square One,"100 City Centre Dr #2-115, Mississauga, ON L5B 2C9, Canada",Closed. Opens at 11:00 am,ebgames.ca,+1 905-279-6920,"H9V4+28 Mississauga, Ontario, Canada",3.8,264 reviews
Game Hoard,"148 Queen St E #5, Brampton, ON L6V 1B2, Canada",Closed. Opens at 12:00 pm,facebook.com,+1 905-451-4263,"M6RW+H5 Brampton, Ontario, Canada",4.6,356 reviews
Game Shack,"25 Peel Centre Dr Unit 403A, Brampton, ON L6T 3R5, Canada",Closed. Opens at 12:00 pm,gameshack.ca,+1 905-458-7065,"P78G+3J Brampton, Ontario, Canada",4.5,128 reviews
GAMING,adress not available,opening hr not provided,website not available,+1 647-906-2400,plus code available,review not available,not available
Gaming World News,adress not available,Open now: Open 24 hours,gamingworldnews.website,+1 647-709-0832,plus code available,5.0,1 review
EB Games,"QUEEN'S SQUARE CENTRE, 181 N Queen St, Etobicoke, ON M9C 1A7, Canada",Closed. Opens at 10:00 am,ebgames.ca,+1 416-621-2600,"JC8V+JR Etobicoke, Toronto, ON, Canada",4.2,137 reviews
Game Hoard,"1077 N Service Rd #37, Mississauga, ON L4Y 1A6, Canada",Closed. Opens at 12:00 pm,facebook.com,+1 905-275-7529,"HCVF+3W Mississauga, Ontario, Canada",4.2,153 reviews
Dungeon Runners Toronto,adress not available,Closed. Opens at 5:00 pm,dungeonrunners.ca,+1 289-805-6175,plus code available,5.0,2 reviews
Video Game Experts,"5150 Dixie Rd Unit #4, Mississauga, ON L4W 1C9, Canada",Closed. Opens at 11:00 am,gameexperts.ca,+1 905-581-1279,"J9QG+24 Mississauga, Ontario, Canada",4.7,112 reviews
We Got Gamez Mississauga,"377 Burnhamthorpe Rd E, Mississauga, ON L5A 3Y1, Canada",Closed. Opens at 11:00 am,facebook.com,+1 905-803-0754,"J93F+64 Mississauga, Ontario, Canada",4.7,93 reviews
WE GOT GAMES,"499 Main St S, Brampton, ON L6Y 1N7, Canada",Closed. Opens at 10:00 am,wegotgames.ca,+1 905-451-9090,"M786+8G Brampton, Ontario, Canada",4.3,77 reviews
SaugaGamers,adress not available,Closed. Opens at 11:00 am,saugagamers.com,+1 855-255-6786,plus code available,4.6,54 reviews
EB Games,"8995 Airport Rd, Brampton, ON L6T 5T2, Canada",Closed. Opens at 7:00 am,ebgames.ca,+1 905-790-9262,"P8V4+8H Brampton, Ontario, Canada",2.8,55 reviews
EB Games,"Town Centre, 5100 Erin Mills Pkwy Unit E222, Mississauga, ON L5M 4Z5, Canada",Closed. Opens at 11:00 am,ebgames.ca,+1 905-607-5250,"H75Q+9G Mississauga, Ontario, Canada",4.4,150 reviews
SaugaGamers,adress not available,Closed. Opens at 11:00 am,saugagamers.com,+1 855-255-6786,plus code available,review not available,not available
Mind Games,"100 City Centre Dr, Mississauga, ON L5B 2C9, Canada",Closed. Opens at 11:00 am,mindgames.ca,+1 905-232-4044,plus code available,4.0,8 reviews
EB Games,"150 Great Lakes Dr #132B, Brampton, ON L6R 2S5, Canada",Closed. Opens at 10:00 am,ebgames.ca,+1 905-790-0554,"P6JM+4V Brampton, Ontario, Canada",3.8,191 reviews
EB Games,"Highway 7 & Airport Rd, 2880 Queen St E Unit C7, Brampton, ON L6T 3G1, Canada",Closed. Opens at 10:00 am,ebgames.ca,+1 905-792-1844,"P8V2+2G Brampton, Ontario, Canada",4.3,158 reviews
Game Palace,adress not available,Open now: Open 24 hours,gamepalace.ca,Phone not available,plus code available,5.0,5 reviews
Game Palace,adress not available,Open now: Open 24 hours,gamepalace.ca,Phone not available,plus code available,5.0,5 reviews
EB Games,"6045 Mavis Rd, Mississauga, ON L5R 4G6, Canada",Closed. Opens at 10:00 am,ebgames.ca,+1 905-568-7688,"J873+8W Mississauga, Ontario, Canada",3.9,189 reviews
We Got Games Etobicoke,"Albion Center, 1530 Albion Rd, Etobicoke, ON M9V 1B4, Canada",Closed. Opens at 10:00 am,wegotgames.ca,+1 647-341-1990,"PCR8+Q6 Etobicoke, Toronto, ON, Canada",4.0,37 reviews
Game Hoard,"280 Guelph St, Georgetown, ON L7G 4B1, Canada",opening hr not provided,facebook.com,+1 905-873-1010,"J4X2+9M Georgetown, Halton Hills, ON, Canada",4.5,119 reviews
YardSports - Toronto,"5155 Spectrum Way #37, Mississauga, ON L4W 5A1, Canada",opening hr not provided,yardsports.store,+1 905-624-2063,"M92Q+6H Mississauga, Ontario, Canada",review not available,not available
Game Oasis,"151 Carlingview Dr Unit 7, Etobicoke, ON M9W 5S4, Canada",opening hr not provided,website not available,Phone not available,"MCH5+XV Etobicoke, Toronto, ON, Canada",review not available,not available
GAME HOARD,"250 The East Mall, Etobicoke, ON M9B 3Y8, Canada",opening hr not provided,gamehoard.com,+1 416-233-7757,"JCJV+FQ Etobicoke, Toronto, ON, Canada",4.2,5 reviews
EB Games,"SMARTCENTRE BOLTON, 40 McEwan Dr E, Bolton, ON L7E 2Y3, Canada",Closed. Opens at 10:00 am,ebgames.ca,+1 905-951-9710,"V77P+7Q Caledon, Ontario, Canada",4.3,87 reviews
Warhammer,"5955 Latimer Dr #2, Mississauga, ON L5V 0B7, Canada",Closed. Opens at 12:00 pm,games-workshop.com,+1 905-858-2232,"J853+P4 Mississauga, Ontario, Canada",4.6,102 reviews
LVLUP GAMES,"833 Westlock Rd Unit #9, Mississauga, ON L5C 1K7, Canada",Closed. Opens at 12:00 pm,lvlupgames.ca,+1 289-444-0147,"H985+Q5 Mississauga, Ontario, Canada",4.9,185 reviews
EB Games,"2150 Burnhamthorpe Rd W, Mississauga, ON L5L 3A2, Canada",Closed. Opens at 10:00 am,ebgames.ca,+1 905-607-4536,"G8W9+34 Mississauga, Ontario, Canada",4.3,91 reviews
Nintendo store,"377 Burnhamthorpe Rd E, Mississauga, ON L5A 3Y1, Canada",opening hr not provided,website not available,Phone not available,"J93F+67 Mississauga, Ontario, Canada",5.0,3 reviews
Koros Games,"113 Broadway, Orangeville, ON L9W 1K2, Canada",Closed. Opens at 12:00 pm,korosgames.ca,+1 519-941-8686,"WW93+WW Orangeville, Ontario, Canada",4.6,105 reviews
Dragon World Card Games & Collectibles,"22 Main St S 2nd Floor, Brampton, ON L6W 2C3, Canada",Closed. Opens at 12:00 pm,dragontcg.crystalcommerce.com,+1 905-965-5830,"M6PR+79 Brampton, Ontario, Canada",4.9,61 reviews
Emmy The Gamer,"7 Masseyfield St, Brampton, ON L6P 3E1, Canada",Open now: Open 24 hours,website not available,+1 647-572-4551,"Q8GV+7P Brampton, Ontario, Canada",review not available,not available
Jack Game shop,"360 Guelph St, Georgetown, ON L7G 4B5, Canada",opening hr not provided,website not available,Phone not available,"J4X9+9C Georgetown, Halton Hills, ON, Canada",review not available,not available
EB Games,"Clarkson Crossing, 960 Southdown Rd C14, Mississauga, ON L5J 2Y4, Canada",Closed. Opens at 10:00 am,ebgames.ca,+1 905-403-9411,"G959+RM Mississauga, Ontario, Canada",4.3,85 reviews
PRescue,"70 Soldier St, Brampton, ON L7A 4B7, Canada",Open now: Open 24 hours,marclaflamme.com,Phone not available,"M5H6+X8 Brampton, Ontario, Canada",5.0,1 review
board-games.ca,adress not available,Open now: Open 24 hours,board-games.ca,Phone not available,plus code available,review not available,not available
iptv brampton,adress not available,Closed. Opens at 10:00 am,contactiptv.com,+1 416-907-2929,plus code available,3.9,7 reviews
Mind Games,"13850 Steeles Ave W, Halton Hills, ON L7G 0J1, Canada",Closed. Opens at 10:00 am,mindgames.ca,+1 905-636-5848,"H5G9+7X Halton Hills, Ontario, Canada",3.8,20 reviews
Best Buy,"25 Peel Centre Dr Unit 451, Brampton, ON L6T 3R5, Canada",opening hr not provided,stores.bestbuy.ca,+1 905-494-2179,"P77H+R5 Brampton, Ontario, Canada",3.7,"2,893 reviews"
The Source,"25 Peel Centre Dr Unit 608, Brampton, ON L6T 3R5, Canada",Closed. Opens at 11:00 am,thesource.ca,+1 905-793-1323,"P78H+58 Brampton, Ontario, Canada",3.8,176 reviews
EB Games,"Oakville Place, 240 Leighland Ave Unit 208, Oakville, ON L6H 3H6, Canada",opening hr not provided,ebgames.ca,+1 905-339-3059,"F867+JC Oakville, Ontario, Canada",4.0,200 reviews
EB Games,"RioCan Colossus Centre, 21 Famous Avenue, Unit 2, Vaughan, ON L4L 0B6, Canada",Closed. Opens at 10:00 am,ebgames.ca,+1 905-264-2166,"QFQ4+G3 Vaughan, Ontario, Canada",4.1,118 reviews
QuoteTheAnime,adress not available,Open now: Open 24 hours,quotetheanime.com,+1 647-981-9558,plus code available,review not available,not available
Xscape,"1025 The Queensway, Etobicoke, ON M8Z 6C7, Canada",opening hr not provided,website not available,Phone not available,"JFCP+C2 Etobicoke, Toronto, ON, Canada",review not available,not available
The Source,"100 City Centre Dr, Mississauga, ON L5B 2C9, Canada",Closed. Opens at 11:00 am,thesource.ca,+1 905-275-1286,"H9V5+62 Mississauga, Ontario, Canada",3.7,320 reviews
EB Games,"Dorval Crossing East, 210 North Service Rd W, Oakville, ON L6M 2Y1, Canada",Closed. Opens at 10:00 am,ebgames.ca,+1 905-338-8650,"C7XX+8J Oakville, Ontario, Canada",4.4,121 reviews
Games Workshop,"8401 Weston Rd, Woodbridge, ON L4L 1A6, Canada",Closed. Opens at 12:00 pm,games-workshop.com,+1 905-850-0935,"RC4X+RM Vaughan, Ontario, Canada",4.9,106 reviews
EB Games,"1 Bass Pro Mills Dr #751, Concord, ON L4K 5W4, Canada",opening hr not provided,ebgames.ca,+1 905-738-4430,"RFG7+3W Vaughan, Ontario, Canada",3.9,219 reviews
Calendar Club,"5100 Erin Mills Pkwy, Mississauga, ON L5M 4Z5, Canada",opening hr not provided,calendarclub.ca,+1 905-867-5283,"H75Q+86 Mississauga, Ontario, Canada",5.0,2 reviews
