title,address,opening_hrs,website,phone,plus_code
PetSmart,"547 Steeles Ave E, Brampton, ON L6W 4S2",opening hr not provided,petsmart.ca,(905) 874-9999,"M7GJ+F6 Brampton, Ontario"
PetSmart,"9065 Airport Rd, Brampton, ON L6S 0B8",opening hr not provided,petsmart.ca,(905) 789-0384,"P8W3+8H Brampton, Ontario"
IJ Pet Supplies,ijpetsupplies.business.site,opening hr not provided,ijpetsupplies.business.site,(438) 969-6420,plus code available
PetSmart,"5800 McLaughlin Rd, Mississauga, ON L5R 4B7",opening hr not provided,petsmart.ca,(905) 501-1116,"J877+93 Mississauga, Ontario"
Pet O Pets - Mississauga,"3092 Mavis Rd, Mississauga, ON L5C 1T8",opening hr not provided,petopets.com,+1 844-738-6738,"H987+XP Mississauga, Ontario"
PetSmart,"76 Quarry Edge Dr, Brampton, ON L6V 4K2",opening hr not provided,petsmart.ca,(905) 452-5185,"P648+J2 Brampton, Ontario"
Best Cat,bestcat.ca,Open now: Open 24 hours,bestcat.ca,Phone not available,plus code available
StunnerTags,stunnertags.business.site,opening hr not provided,stunnertags.business.site,(905) 782-3529,plus code available
PetSmart,"3105 Argentia Rd, Mississauga, ON L5N 8P7",opening hr not provided,petsmart.ca,(905) 785-2816,"H6X6+5X Mississauga, Ontario"
Pet Valu,"370 Main St N, Brampton, ON L6V 4A4",opening hr not provided,store.petvalu.com,(905) 451-6513,"M6WH+C5 Brampton, Ontario"
Port Credit Pet Centre,portcreditpets.com,opening hr not provided,portcreditpets.com,(905) 659-3113,plus code available
The Bowtail - Mississauga Store,"1900 Dundas St W Unit 29B, Mississauga, ON L5K 1P9",opening hr not provided,bowtail.ca,(905) 855-2299,"G8QQ+V3 Mississauga, Ontario"
Pet Valu,"150 West Dr, Brampton, ON L6T 4P9",opening hr not provided,store.petvalu.com,(905) 458-0915,"P748+P3 Brampton, Ontario"
Pet Valu,"55 Mountainash Rd, Brampton, ON L6R 1W4",opening hr not provided,store.petvalu.com,(905) 793-2288,"Q76C+78 Brampton, Ontario"
Pet Valu,"164 Sandalwood Pkwy E, Brampton, ON L6Z 2S4",opening hr not provided,store.petvalu.com,(905) 840-1160,"P6H3+3F Brampton, Ontario"
Pet Valu,"2400 Dundas St W, Mississauga, ON L5K 2R8",opening hr not provided,store.petvalu.com,(905) 823-9200,"G8HG+F7 Mississauga, Ontario"
Inglewood Pet Food and Boutique,"15352 Hurontario St, Caledon, ON L7C 2C3",opening hr not provided,inglewoodpetfood.ca,(905) 838-0100,"Q3XP+V4 Caledon, Ontario"
fuzzroom.com,"72 Orchid Dr, Brampton, ON L7A 2C4",Open now: Open 24 hours,fuzzroom.com,(506) 259-8789,"P57M+MG Brampton, Ontario"
Wild Fish Aquarium(pet shop),"51 McMurchy Ave S, Brampton, ON L6Y 1Y5",opening hr not provided,business.site,(905) 451-9453,"M6HQ+72 Brampton, Ontario"
Pet Valu,"4141 Dixie Rd, Mississauga, ON L4W 1V5",opening hr not provided,store.petvalu.com,(905) 896-0238,"J9GW+45 Mississauga, Ontario"
Pet Valu,"495 Main St S, Brampton, ON L6Y 1N7",opening hr not provided,store.petvalu.com,(905) 452-1394,"M796+9W Brampton, Ontario"
PetSmart,"12730 Hwy 50 Unit F3, Bolton, ON L7E 4G1",opening hr not provided,petsmart.ca,(905) 857-9327,"V76M+WQ Caledon, Ontario"
Pet Valu,"1510 Dundas St E, Mississauga, ON L4X 1L4",opening hr not provided,store.petvalu.com,(905) 273-9992,"JC6C+99 Mississauga, Ontario"
ANG Pets,"2555 Erin Centre Blvd, Mississauga, ON L5M 5H1",opening hr not provided,angpets.com,(905) 542-4533,"H77Q+6W Mississauga, Ontario"
Pet Valu,"3077 Mavis Rd, Mississauga, ON L5C 1T7",opening hr not provided,franchise.petvalu.com,(905) 306-0909,"H998+44 Mississauga, Ontario"
Ren's Pets Heartland,"5985 Rodeo Dr Unit 2, Mississauga, ON L5R 3X8",opening hr not provided,renspets.com,(289) 805-6991,"J875+VM Mississauga, Ontario"
Pet Valu,"11755 Bramalea Rd Unit 1, Brampton, ON L6R 3S9",opening hr not provided,store.petvalu.com,(905) 789-1738,"Q6CC+HH Brampton, Ontario"
Those Groovy Pets,(647) 453-6475,Open now: Open 24 hours,website not available,(647) 453-6475,plus code available
Pet Valu,"9445 Mississauga Rd Bldg F2, Brampton, ON L6X 0Z8",opening hr not provided,store.petvalu.com,(905) 866-6802,"M54P+C9 Brampton, Ontario"
Pet Valu,"5029 Hurontario St, Mississauga, ON L4Z 3X7",opening hr not provided,store.petvalu.com,(905) 501-1176,"J85W+2M Mississauga, Ontario"
Pet Valu,"1077 N Service Rd, Mississauga, ON L4Y 1A6",opening hr not provided,store.petvalu.com,(905) 276-7190,"HCRF+HG Mississauga, Ontario"
PetSmart,"2501 Hyde Park Gate, Oakville, ON L6H 6G6",opening hr not provided,petsmart.ca,(905) 829-9999,"G887+78 Oakville, Ontario"
Pet Valu,"666 Burnhamthorpe Rd, Etobicoke, ON M9C 2Z4",opening hr not provided,store.petvalu.com,(416) 626-2485,"JCRF+G2 Etobicoke, Toronto, ON"
PetSmart,"319 Guelph St Unit B, Georgetown, ON L7G 4B3",opening hr not provided,petsmart.ca,(905) 873-6743,"M427+35 Georgetown, Halton Hills, ON"
Pet Valu,"6040 Glen Erin Dr, Mississauga, ON L5N 3M4",opening hr not provided,store.petvalu.com,(905) 821-8333,"H7F6+M4 Mississauga, Ontario"
Essentials for Pupsters,essentialsforpupsters.com,Open now: Open 24 hours,essentialsforpupsters.com,+1 848-202-4290,plus code available
Ren's Pets Oakville,"4002 Trafalgar Rd, Oakville, ON L6H 7B7",opening hr not provided,renspets.com,(905) 257-4611,"G726+M8 Oakville, Ontario"
PoochyKat,"3428 Lake Shore Blvd W, Etobicoke, ON M8W 1N3",opening hr not provided,poochykat.ca,(416) 792-3200,"HFWC+79 Etobicoke, Toronto, ON"
Brampton African Peacock CIchild Aquarium Sale,business.site,Open now: Open 24 hours,business.site,Phone not available,plus code available
Global Pet Foods,"2933 Queen St E Unit E2, Brampton, ON L6T 5P9",opening hr not provided,globalpetfoods.com,(905) 793-2899,"P8R2+FX Brampton, Ontario"
Pet Valu,"495 Main St S, Brampton, ON L6Y 1N7",opening hr not provided,store.petvalu.com,(905) 452-1394,"M796+9W Brampton, Ontario"
PetSmart,"507 Lakeshore Rd E, Mississauga, ON L5G 1H9",opening hr not provided,petsmart.ca,(905) 278-0101,"HC8H+49 Mississauga, Ontario"
Pet Valu,"40 McEwan Dr E #12, Bolton, ON L7E 2Y3",opening hr not provided,store.petvalu.com,(905) 951-0820,"V77P+9V Caledon, Ontario"
Ruffin's Pet Centre Georgetown,"140 Guelph St, Georgetown, ON L7G 4A5",opening hr not provided,ruffinspet.com,(905) 873-0933,"M32Q+5F Georgetown, Halton Hills, ON"
